gps;mode;;
7130;;;
7190;;;
7130;;;
7180;;;
7208;;;
7230;;;
7249;;;
7219;;;
7247;;;
7268;;;
7290;;;
7260;;;
7279;;;
7301;;;
7268;;;
7290;;;
7312;;;
7340;;;
7310;;;
7280;;;
7304;;;
7326;;;
7348;;;
7391;E;;
7351;;;
7315;;;
7280;;;
7299;;;
7272;;;
7302;;;
7277;;;
7252;;;
7277;;;
7302;;;
7321;;;
7348;;;
7313;;;
7332;;;
7351;;;
7397;E;;
7349;;;
7382;E;;
7433;E;;
7399;E;;
7449;E;;
7399;E;;
7454;E;;
7404;E;;
7464;E;;
7518;E;;
7520;E;;
7522;E;;
7523;E;;
7541;E;;
7539;E;;
7538;E;;
7537;E;;
7539;E;;
7540;E;;
7545;E;;
7543;E;;
7541;E;;
7505;E;;
7541;E;;
7543;E;;
7545;E;;
7547;E;;
7545;E;;
7547;E;;
7546;E;;
7547;E;;
7546;E;;
7545;E;;
7544;E;;
7545;E;;
7544;E;;
7545;E;;
7544;E;;
7542;E;;
7544;E;;
7640;E;;
7638;E;;
7639;E;;
7639;E;;
7640;E;;
7639;E;;
7641;E;;
7639;E;;
7641;E;;
7641;E;;
7648;E;;
7646;E;;
7645;E;;
7644;E;;
7601;E;;
7553;E;;
7510;E;;
7510;E;;
7486;;;
7516;E;;
7572;E;;
7530;E;;
7489;;;
7530;E;;
7487;;;
7527;E;;
7495;;;
7542;E;;
7499;;;
7531;E;;
7584;E;;
7535;E;;
7594;E;;
7556;E;;
7626;E;;
7588;E;;
7535;E;;
7604;E;;
7562;E;;
7514;E;;
7487;;;
7514;E;;
7949;E;;
7909;E;;
7940;E;;
7886;E;;
7922;E;;
7873;E;;
7909;E;;
7864;E;;
7900;E;;
7940;E;;
7891;E;;
7972;E;;
7922;E;;
7959;E;;
7904;E;;
7940;E;;
7922;E;;
7904;E;;
7886;E;;
7868;E;;
7904;E;;
7940;E;;
8013;E;;
8031;E;;
8022;E;;
8004;E;;
8032;E;;
8035;E;;
8034;E;;
8033;E;;
8038;E;;
8037;E;;
8036;E;;
8035;E;;
8034;E;;
8033;E;;
8032;E;;
8031;E;;
8018;E;;
7977;E;;
7968;E;;
7959;E;;
7950;E;;
7900;E;;
7854;E;;
7983;E;;
8016;E;;
8044;E;;
8004;E;;
8034;E;;
7991;E;;
7950;E;;
7903;E;;
7960;E;;
8004;E;;
8034;E;;
8066;E;;
8091;E;;
8111;E;;
8091;E;;
8066;E;;
8091;E;;
8057;E;;
8027;E;;
7992;E;;
7955;E;;
8004;E;;
7965;E;;
7897;E;;
7955;E;;
7996;E;;
8027;E;;
7987;E;;
7941;E;;
7892;E;;
7836;E;;
7882;E;;
7946;E;;
7897;E;;
7829;E;;
7765;E;;
7683;E;;
7591;E;;
7527;;;
7415;;;
7291;;;
7154;;;
7005;;;
7154;;;
7291;;;
7415;;;
7516;;;
7608;E;;
7716;E;;
7646;E;;
7749;E;;
7672;E;;
7756;E;;
7859;E;;
7922;E;;
7971;E;;
8014;E;;
7961;E;;
8014;E;;
7971;E;;
8022;E;;
8379;E;;
8362;E;DK;1
8345;E;DK;2
8313;E;Terry;1
8345;E;Sephiroth;1
8300;E;Sephiroth;1
8333;E;Sephiroth;1
8291;E;Sephiroth;1
8246;E;Sephiroth;2
8201;E;Sephiroth;3
8262;E;Sephiroth;4
